[INFO] [1778284362.482418240] [remote_control_node]: Parsed point: id='pile97', x=355251.396000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482435808] [remote_control_node]: Parsed point: id='pile98', x=355251.396000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482452640] [remote_control_node]: Parsed point: id='pile99', x=355254.845000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482469856] [remote_control_node]: Parsed point: id='pile100', x=355254.845000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482487328] [remote_control_node]: Parsed point: id='pile101', x=355258.289000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482506464] [remote_control_node]: Parsed point: id='pile102', x=355258.289000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482535712] [remote_control_node]: Parsed point: id='pile103', x=355261.735000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482555296] [remote_control_node]: Parsed point: id='pile104', x=355261.735000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482573536] [remote_control_node]: Parsed point: id='pile105', x=355265.191000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482590720] [remote_control_node]: Parsed point: id='pile106', x=355265.191000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482607744] [remote_control_node]: Parsed point: id='pile107', x=355268.659000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482624384] [remote_control_node]: Parsed point: id='pile108', x=355268.659000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482641280] [remote_control_node]: Parsed point: id='pile109', x=355272.134000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482657824] [remote_control_node]: Parsed point: id='pile110', x=355272.134000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482674912] [remote_control_node]: Parsed point: id='pile111', x=355274.453000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482692160] [remote_control_node]: Parsed point: id='pile112', x=355274.453000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482709312] [remote_control_node]: Parsed point: id='pile113', x=355009.634000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.482726272] [remote_control_node]: Parsed point: id='pile114', x=355009.634000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.482743264] [remote_control_node]: Parsed point: id='pile115', x=355011.942000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.482763392] [remote_control_node]: Parsed point: id='pile116', x=355011.942000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.482780352] [remote_control_node]: Parsed point: id='pile117', x=355015.398000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.482797344] [remote_control_node]: Parsed point: id='pile118', x=355015.398000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.482814464] [remote_control_node]: Parsed point: id='pile119', x=355018.847000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.482831168] [remote_control_node]: Parsed point: id='pile120', x=355018.847000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.482847936] [remote_control_node]: Parsed point: id='pile121', x=355022.296000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.482865088] [remote_control_node]: Parsed point: id='pile122', x=355022.296000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.482898848] [remote_control_node]: Parsed point: id='pile123', x=355025.746000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.482924192] [remote_control_node]: Parsed point: id='pile124', x=355025.746000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.482981888] [remote_control_node]: Parsed point: id='pile125', x=355029.192000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483008416] [remote_control_node]: Parsed point: id='pile126', x=355029.192000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483031392] [remote_control_node]: Parsed point: id='pile127', x=355032.632000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483052608] [remote_control_node]: Parsed point: id='pile128', x=355032.632000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483085536] [remote_control_node]: Parsed point: id='pile129', x=355036.076000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483108448] [remote_control_node]: Parsed point: id='pile130', x=355036.076000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483128128] [remote_control_node]: Parsed point: id='pile131', x=355039.520000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483146592] [remote_control_node]: Parsed point: id='pile132', x=355039.520000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483164256] [remote_control_node]: Parsed point: id='pile133', x=355042.959000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483181376] [remote_control_node]: Parsed point: id='pile134', x=355042.959000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483198784] [remote_control_node]: Parsed point: id='pile135', x=355046.394000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483215872] [remote_control_node]: Parsed point: id='pile136', x=355046.394000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483232896] [remote_control_node]: Parsed point: id='pile137', x=355049.830000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483249824] [remote_control_node]: Parsed point: id='pile138', x=355049.830000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483266720] [remote_control_node]: Parsed point: id='pile139', x=355053.271000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483283872] [remote_control_node]: Parsed point: id='pile140', x=355053.271000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483300864] [remote_control_node]: Parsed point: id='pile141', x=355056.715000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483317760] [remote_control_node]: Parsed point: id='pile142', x=355056.715000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483334528] [remote_control_node]: Parsed point: id='pile143', x=355060.158000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483351296] [remote_control_node]: Parsed point: id='pile144', x=355060.158000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483368416] [remote_control_node]: Parsed point: id='pile145', x=355063.601000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483385952] [remote_control_node]: Parsed point: id='pile146', x=355063.601000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483419712] [remote_control_node]: Parsed point: id='pile147', x=355067.042000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483439200] [remote_control_node]: Parsed point: id='pile148', x=355067.042000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483457120] [remote_control_node]: Parsed point: id='pile149', x=355070.484000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483474496] [remote_control_node]: Parsed point: id='pile150', x=355070.484000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483491808] [remote_control_node]: Parsed point: id='pile151', x=355073.934000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483509312] [remote_control_node]: Parsed point: id='pile152', x=355073.934000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483545536] [remote_control_node]: Parsed point: id='pile153', x=355077.387000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483564672] [remote_control_node]: Parsed point: id='pile154', x=355077.387000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483582528] [remote_control_node]: Parsed point: id='pile155', x=355080.840000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483599680] [remote_control_node]: Parsed point: id='pile156', x=355080.840000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483620032] [remote_control_node]: Parsed point: id='pile157', x=355084.302000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483638240] [remote_control_node]: Parsed point: id='pile158', x=355084.302000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483655904] [remote_control_node]: Parsed point: id='pile159', x=355087.761000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483673536] [remote_control_node]: Parsed point: id='pile160', x=355087.761000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483690912] [remote_control_node]: Parsed point: id='pile161', x=355091.214000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483708160] [remote_control_node]: Parsed point: id='pile162', x=355091.214000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483725824] [remote_control_node]: Parsed point: id='pile163', x=355094.655000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483743008] [remote_control_node]: Parsed point: id='pile164', x=355094.655000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483760000] [remote_control_node]: Parsed point: id='pile165', x=355098.080000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483776864] [remote_control_node]: Parsed point: id='pile166', x=355098.080000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483794432] [remote_control_node]: Parsed point: id='pile167', x=355101.501000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483811648] [remote_control_node]: Parsed point: id='pile168', x=355101.501000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483828928] [remote_control_node]: Parsed point: id='pile169', x=355104.938000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483846304] [remote_control_node]: Parsed point: id='pile170', x=355104.938000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483863360] [remote_control_node]: Parsed point: id='pile171', x=355108.392000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483890976] [remote_control_node]: Parsed point: id='pile172', x=355108.392000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483909984] [remote_control_node]: Parsed point: id='pile173', x=355111.847000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483927872] [remote_control_node]: Parsed point: id='pile174', x=355111.847000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.483962112] [remote_control_node]: Parsed point: id='pile175', x=355115.297000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.483987456] [remote_control_node]: Parsed point: id='pile176', x=355115.297000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484007488] [remote_control_node]: Parsed point: id='pile177', x=355118.745000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484025312] [remote_control_node]: Parsed point: id='pile178', x=355118.745000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484046400] [remote_control_node]: Parsed point: id='pile179', x=355122.203000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484064896] [remote_control_node]: Parsed point: id='pile180', x=355122.203000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484082848] [remote_control_node]: Parsed point: id='pile181', x=355125.670000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484100064] [remote_control_node]: Parsed point: id='pile182', x=355125.670000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484136448] [remote_control_node]: Parsed point: id='pile183', x=355129.138000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484156032] [remote_control_node]: Parsed point: id='pile184', x=355129.138000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484174080] [remote_control_node]: Parsed point: id='pile185', x=355132.596000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484191296] [remote_control_node]: Parsed point: id='pile186', x=355132.596000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484208736] [remote_control_node]: Parsed point: id='pile187', x=355136.044000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484225920] [remote_control_node]: Parsed point: id='pile188', x=355136.044000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484243200] [remote_control_node]: Parsed point: id='pile189', x=355139.496000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484260480] [remote_control_node]: Parsed point: id='pile190', x=355139.496000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484277664] [remote_control_node]: Parsed point: id='pile191', x=355142.968000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484294784] [remote_control_node]: Parsed point: id='pile192', x=355142.968000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484311936] [remote_control_node]: Parsed point: id='pile193', x=355146.452000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484328672] [remote_control_node]: Parsed point: id='pile194', x=355146.452000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484345664] [remote_control_node]: Parsed point: id='pile195', x=355149.931000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484362624] [remote_control_node]: Parsed point: id='pile196', x=355149.931000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484379520] [remote_control_node]: Parsed point: id='pile197', x=355153.406000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484396480] [remote_control_node]: Parsed point: id='pile198', x=355153.406000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484424672] [remote_control_node]: Parsed point: id='pile199', x=355156.891000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484443040] [remote_control_node]: Parsed point: id='pile200', x=355156.891000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484459872] [remote_control_node]: Parsed point: id='pile201', x=355160.384000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484480832] [remote_control_node]: Parsed point: id='pile202', x=355160.384000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484499680] [remote_control_node]: Parsed point: id='pile203', x=355163.875000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484517824] [remote_control_node]: Parsed point: id='pile204', x=355163.875000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484534816] [remote_control_node]: Parsed point: id='pile205', x=355167.364000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484551616] [remote_control_node]: Parsed point: id='pile206', x=355167.364000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484568448] [remote_control_node]: Parsed point: id='pile207', x=355170.854000000, y=4348632.517000000, z=0.000000000
